n_other_seeds,predicted_mean,ci_lower,ci_upper
0,0.6715454663656993,0.6160994890704188,0.7215101184057761
1,0.6559840030603207,0.6016320135997432,0.7054625359912737
2,0.6400856269595254,0.5867324715642596,0.6891239865644184
3,0.6238789769736478,0.5713934776752349,0.6725634585197344
4,0.6073952733179452,0.5556115209969043,0.6558531383760059
5,0.5906681130977408,0.5393886500293358,0.63906615981956
6,0.5737332241790531,0.5227344905075261,0.6222738574226477
7,0.5566281806216584,0.5056686035634802,0.605542531227785
8,0.5393920841137069,0.4882230189183054,0.5889299082764226
9,0.5220652169029996,0.4704444305360875,0.5724818405158042
10,0.5046886726202241,0.4523950732763546,0.5562302522813473
11,0.4873039720906043,0.43415094136239346,0.5401937115090832
12,0.4699526716987262,0.41579660168910854,0.5243814079820125
13,0.45267597208450644,0.3974180777995497,0.5087990984887202
14,0.43551433489742136,0.3790975269015278,0.49345332970861505
15,0.41850711502586724,0.3609131011183145,0.47835057662508823
16,0.4016922151668298,0.3429432496534979,0.463492063285824
17,0.38510576883762765,0.3252690946587125,0.44887065027036527
18,0.36878185699562377,0.30797018308967333,0.43447449701133384
19,0.35275226236949275,0.2911175940646555,0.4202935232770762
20,0.3370462644665073,0.2747700137541235,0.40632305552026216
21,0.3216904770543747,0.25897331270552865,0.39256411567560784
22,0.3067087287709957,0.2437616977333792,0.37902226857057536
23,0.2921219864336387,0.22915907470043673,0.3657063768723827
24,0.27794831963607863,0.21518008519772233,0.35262778390773986
25,0.2642029043657665,0.20183054837756206,0.33980017558659875
26,0.25089806266189063,0.18910680373344071,0.3272406081574153
27,0.23804333477953746,0.1769925904978454,0.3149730493895729
28,0.2256455799272755,0.1654509642387473,0.30303691713180964
29,0.2137091014006456,0.1544177370834983,0.29149411494543903
