term,coef,odds_ratio,p_value
Intercept,0.9446181990254262,2.571831263431177,0.0005113667691887578
C(prompt_type)[T.position paper],-0.20862423573023123,0.8117001862728139,2.923316017960839e-11
C(node)[T.1],-0.9011726523283682,0.40609317431293535,3.358294954387702e-11
C(node)[T.2],-0.9296345761319754,0.3946979160610843,6.532908646083598e-07
C(node)[T.3],-0.8139071438072744,0.4431233329174645,7.738321250569903e-05
C(node)[T.4],-0.6603539867519818,0.5166684083451715,0.002364204604644307
C(node)[T.5],-0.7242897491101589,0.484668683100658,0.0016666959275686976
C(node)[T.6],-0.5939670160814894,0.5521326155037874,0.016855120849476442
C(node)[T.7],-0.7244437310816367,0.4845940586068814,0.0048696941048304646
C(node)[T.8],-0.7685171301365923,0.46370016574872736,0.0033735418390374084
C(node)[T.9],-0.5961281665241651,0.5509406623163802,0.022358780541715834
C(node)[T.10],-0.6512538105888821,0.5213916404054706,0.02119784031111395
C(node)[T.11],-0.6611760272846845,0.5162438604932232,0.01644104063531898
n_other_seeds,-0.07041094183290106,0.9320107389979867,3.596425223940561e-14
relevance,6.975771946378736,1070.3831488305525,4.097752517490732e-46
