prompt_id,seed_id,cited,n_other_seeds,prompt_type,relevance,node
N0P25,SEED_89,0,29,position paper,0.013011664337656105,0
N0P25,SEED_42,0,29,position paper,0.051653349129091995,0
N0P25,SEED_88,1,29,position paper,0.0751324199578783,0
N0P25,SEED_101,1,29,position paper,0.023490079101840138,0
N0P25,SEED_67,0,29,position paper,0.05032975495304677,0
N0P25,SEED_45,0,29,position paper,0.04818303463809887,0
N0P25,SEED_31,0,29,position paper,0.033526494815073346,0
N0P25,SEED_28,0,29,position paper,0.03690431206766,0
N0P25,SEED_15,0,29,position paper,0.12583525799894296,0
N0P25,SEED_32,1,29,position paper,0.09735164776405995,0
N0P25,SEED_24,1,29,position paper,0.06525103738400904,0
N0P25,SEED_106,1,29,position paper,0.0396656199956952,0
N0P25,SEED_95,0,29,position paper,0.18268931412556882,0
N0P25,SEED_51,1,29,position paper,0.09567458183955731,0
N0P25,SEED_39,0,29,position paper,0.03555690750708022,0
N0P25,SEED_29,0,29,position paper,0.07042009300336129,0
N0P25,SEED_44,1,29,position paper,0.037266295783348585,0
N0P25,SEED_70,1,29,position paper,0.08172477101102746,0
N0P25,SEED_2,0,29,position paper,0.12297460110382108,0
N0P25,SEED_60,0,29,position paper,0.03900336059186124,0
N0P25,SEED_47,1,29,position paper,0.11197067729022589,0
N0P25,SEED_11,1,29,position paper,0.06461885091273475,0
N0P25,SEED_84,0,29,position paper,0.07184420324302587,0
N0P25,SEED_37,0,29,position paper,0.0916688018924311,0
N0P25,SEED_58,0,29,position paper,0.04043276523483182,0
N0P25,SEED_34,0,29,position paper,0.08548426810230766,0
N0P25,SEED_111,0,29,position paper,0.04969971145347565,0
N0P25,SEED_74,0,29,position paper,0.045788952881914514,0
N0P25,SEED_40,0,29,position paper,0.03616922310850126,0
N0P25,SEED_54,0,29,position paper,0.0252978715058926,0
N0P54,SEED_64,0,29,position paper,0.07877200791990707,0
N0P54,SEED_16,0,29,position paper,0.06580490852851562,0
N0P54,SEED_48,1,29,position paper,0.029185376778173528,0
N0P54,SEED_97,0,29,position paper,0.03609440995756307,0
N0P54,SEED_26,0,29,position paper,0.07104261452564097,0
N0P54,SEED_98,1,29,position paper,0.011894667691759708,0
N0P54,SEED_67,1,29,position paper,0.05032975495304677,0
N0P54,SEED_50,0,29,position paper,0.07323859452802539,0
N0P54,SEED_28,0,29,position paper,0.03690431206766,0
N0P54,SEED_15,0,29,position paper,0.12583525799894296,0
N0P54,SEED_32,1,29,position paper,0.09735164776405995,0
N0P54,SEED_0,1,29,position paper,0.03419115971424214,0
N0P54,SEED_95,0,29,position paper,0.18268931412556882,0
N0P54,SEED_7,0,29,position paper,0.021341441722662596,0
N0P54,SEED_39,0,29,position paper,0.03555690750708022,0
N0P54,SEED_85,1,29,position paper,0.06585964077621878,0
N0P54,SEED_38,0,29,position paper,0.061179792753602406,0
N0P54,SEED_29,0,29,position paper,0.07042009300336129,0
