node,n_runs,jaccard_mean,jaccard_ci95_low,jaccard_ci95_high
0,50,0.031663840075001976,0.03152410833288936,0.031803571817114594
1,50,0.01793207668048281,0.017828915365804752,0.01803523799516087
2,50,0.012765941586184331,0.012677555839363117,0.012854327333005545
3,50,0.010228246559905643,0.010152146555318728,0.010304346564492558
4,50,0.008085407034589544,0.008029364943642179,0.00814144912553691
5,50,0.0066324469206399716,0.006567745106733508,0.006697148734546435
6,50,0.0056394627065839194,0.005586369704917165,0.005692555708250674
7,50,0.00476903583616938,0.004719600820751349,0.004818470851587411
8,50,0.004390518755908524,0.004335111932348277,0.004445925579468771
9,50,0.003991405272034921,0.003934712349354433,0.004048098194715408
10,50,0.0034942543403898656,0.0034538139816336633,0.003534694699146068
11,50,0.003215375825637704,0.003177686955755014,0.003253064695520394
