node,n_runs,HHI_mean,HHI_ci95_low,HHI_ci95_high,overlap_mean,overlap_ci95_low,overlap_ci95_high
0,50,0.009299360371718001,0.009265830299080393,0.00933289044435561,0.5495854341736695,0.5473579008970898,0.5518129674502491
1,50,0.0050730427127539755,0.005051377813631207,0.005094707611876744,0.3120840336134454,0.31043992720264274,0.31372814002424804
2,50,0.003662247455477166,0.003644106899218401,0.003680388011735931,0.22641736694677866,0.2249191246856187,0.22791560920793863
3,50,0.0030050482915347336,0.0029898435541529686,0.0030202530289164986,0.18154901960784312,0.1802371318677822,0.18286090734790403
4,50,0.002562380450466238,0.0025508298550451954,0.0025739310458872807,0.14368347338935572,0.1426850740552734,0.14468187272343805
5,50,0.0022845716180731877,0.0022714908807878057,0.0022976523553585697,0.1168319327731092,0.11572153481666117,0.11794233072955723
6,50,0.00208018553355823,0.002068874124745015,0.002091496942371445,0.09873109243697474,0.09777611486618712,0.09968607000776236
7,50,0.001936859988532302,0.0019264028499301653,0.0019473171271344387,0.08369187675070024,0.08282980357206571,0.08455394992933477
8,50,0.001829590687445842,0.0018183907476945582,0.001840790627197126,0.07673109243697475,0.07579240258458206,0.07766978228936744
9,50,0.001732537112855318,0.0017208738570142492,0.0017442003686963866,0.07016806722689072,0.06917619716061504,0.07115993729316639
10,50,0.001641133420904434,0.0016328906770506106,0.0016493761647582575,0.06111764705882348,0.06042554230046692,0.061809751817180035
11,50,0.0016092200841577782,0.0016014375030598787,0.0016170026652556776,0.05563865546218483,0.055004145658263254,0.0562731652661064
