node,N_t,M_prompts,K_t_total_citations,mean_k_pt,HHI_t,E_HHI_null_t,excess_HHI_t,mean_overlap_O_pq_t,E_overlap_null_t,excess_overlap_t,shown_ignored_rate_of_shown,shown_ignored,shown_papers
0,120,120,974,8.116666666666667,0.013874072918467423,0.001100990573529143,0.012773082344938281,0.853501400560224,0.5481115779645536,0.3053898225956705,0.08333333333333333,10,120
1,240,120,1041,8.675,0.006816581632417658,0.000994896099497915,0.005821685532919743,0.44439775910364143,0.3132948179271744,0.13110294117646704,0.09166666666666666,22,240
2,360,120,1086,9.05,0.005051738347425293,0.0009428178114522651,0.0041089205359730275,0.3411764705882353,0.2273899004046245,0.1137865701836108,0.1638888888888889,59,360
3,480,120,1110,9.25,0.004087330573817061,0.0009169608797987177,0.003170369694018343,0.27492997198879554,0.17820553221288749,0.09672443977590806,0.23541666666666666,113,480
4,600,120,1111,9.258333333333333,0.0034731645981879917,0.0009128959700650533,0.0025602686281229383,0.22240896358543416,0.14282516339868379,0.07958380018675038,0.2654424040066778,159,599
5,720,120,1101,9.175,0.002865036408978379,0.0009189597178099084,0.0019460766911684707,0.1661064425770308,0.1168851151571786,0.049221327419852204,0.29748603351955305,213,716
6,840,120,1098,9.15,0.0025563949688289025,0.0009198629700884173,0.0016365319987404854,0.13893557422969188,0.09964602507668952,0.03928954915300237,0.34782608695652173,288,828
7,960,120,1085,9.041666666666666,0.0023317547622587016,0.0009297429689878032,0.0014020117932708985,0.11624649859943978,0.08512809290382867,0.031118405695611112,0.37659574468085105,354,940
8,1080,120,1094,9.116666666666667,0.002332817528884492,0.0009211695578081616,0.0014116479710763303,0.11890756302521008,0.07693834941384016,0.04196921361136992,0.4269340974212034,447,1047
9,1200,120,1102,9.183333333333334,0.0020800326744641814,0.0009138213752040781,0.0011662112992601034,0.09971988795518208,0.07026167133519724,0.029458216619984837,0.4294478527607362,490,1141
10,1320,120,1095,9.125,0.0019690998936636016,0.000919020694213038,0.0010500791994505637,0.08865546218487395,0.06306680247856422,0.025588659706309733,0.4623397435897436,577,1248
11,1440,120,1079,8.991666666666667,0.00188363062286932,0.0009321118031213278,0.0009515188197479922,0.07801120448179272,0.05613085511982696,0.021880349361965756,0.46875,615,1312
