node,n_runs,jaccard_mean,jaccard_ci95_low,jaccard_ci95_high
0,50,0.044344715517254885,0.04420900223983248,0.04448042879467729
1,50,0.021253529481439035,0.02115068522597636,0.021356373736901708
2,50,0.013317199173734428,0.013228286551458714,0.013406111796010142
3,50,0.010228181617570551,0.010148230352779163,0.01030813288236194
4,50,0.008012441499052116,0.007948952446790785,0.008075930551313447
5,50,0.006657751858251718,0.006606056854569822,0.006709446861933614
6,50,0.005520749355549144,0.005473467343275854,0.005568031367822434
7,50,0.00465771405344436,0.004603114679824268,0.0047123134270644525
8,50,0.00417169101757287,0.00412252500369224,0.0042208570314535
9,50,0.0037732891856167823,0.003720274593009108,0.0038263037782244567
10,50,0.003410241443516624,0.00336608754708459,0.003454395339948658
11,50,0.003133806610416344,0.003095599436736303,0.003172013784096385
