node,n_runs,HHI_mean,HHI_ci95_low,HHI_ci95_high,overlap_mean,overlap_ci95_low,overlap_ci95_high
0,50,0.009143073179773345,0.009118664434799,0.009167481924747692,0.7888319327731093,0.786508049321965,0.7911558162242535
1,50,0.005060911019019438,0.0050410380448319405,0.005080783993206936,0.3741400560224089,0.3723598926096178,0.3759202194352
2,50,0.003634650027238442,0.003616412963637562,0.0036528870908393222,0.22801680672268904,0.22648832113082476,0.2295452923145533
3,50,0.003003556396185156,0.0029873599301017276,0.0030197528622685843,0.1759047619047619,0.17454233513985498,0.1772671886696688
4,50,0.002598469389074628,0.002585234919214999,0.002611703858934257,0.13564705882352937,0.13457205564497127,0.13672206200208747
5,50,0.0023587680146940123,0.0023480477495916403,0.0023694882797963843,0.1108067226890756,0.1099663950401922,0.11164705033795899
6,50,0.00214079677109186,0.0021306388030281473,0.0021509547391555727,0.0907759103641456,0.08999761937072832,0.09155420135756288
7,50,0.001966150555375566,0.001954460250245454,0.0019778408605056782,0.07630812324929968,0.07542096907887219,0.07719527741972718
8,50,0.001875488251907888,0.0018648356838290613,0.0018861408199867147,0.06760784313725486,0.06681335849680786,0.06840232777770186
9,50,0.001805167367554988,0.0017937032646813344,0.0018166314704286418,0.0606554621848739,0.05981529999185826,0.061495624377889545
10,50,0.0017160366184647822,0.0017064800805288586,0.0017255931564007058,0.055537815126050376,0.05482645468340959,0.05624917556869116
11,50,0.001628995930520496,0.0016209511889346579,0.0016370406721063341,0.05173109243697475,0.051113535145023016,0.05234864972892648
