node,N_t,M_prompts,K_t_total_citations,mean_k_pt,HHI_t,E_HHI_null_t,excess_HHI_t,mean_overlap_O_pq_t,E_overlap_null_t,excess_overlap_t,shown_ignored_rate_of_shown,shown_ignored,shown_papers
0,120,120,1166,9.716666666666667,0.016603950113125168,0.0009201288263717468,0.01568382128675342,1.4991596638655462,0.7867612044817666,0.7123984593837797,0.13333333333333333,16,120
1,240,120,1131,9.425,0.007504137477612279,0.000915450309486713,0.006588687168125566,0.5929971988795518,0.3701062091503208,0.22289098972923105,0.15416666666666667,37,240
2,360,120,1094,9.116666666666667,0.005417617785561263,0.0009349048472620958,0.004482712938299167,0.37745098039215685,0.2308527855586651,0.14659819483349176,0.20277777777777778,73,360
3,480,120,1096,9.133333333333333,0.004290652139165646,0.0009280179418189568,0.003362634197346689,0.2841736694677871,0.17377450980392403,0.11039915966386307,0.26403326403326405,127,481
4,600,120,1077,8.975,0.003657982514447005,0.0009409828819982373,0.0027169996324487677,0.22170868347338935,0.13423996265172208,0.08746872082166726,0.3010033444816054,180,598
5,720,120,1058,8.816666666666666,0.003242912939847985,0.0009555599826727003,0.0022873529571752847,0.18011204481792717,0.10795401493930806,0.0721580298786191,0.3599439775910364,257,714
6,840,120,1046,8.716666666666667,0.002736455732298952,0.0009649168391477251,0.001771538893151227,0.13641456582633052,0.0904441776710692,0.04597038815526132,0.3692493946731235,305,826
7,960,120,1041,8.675,0.0023374037193602177,0.0009683911440113218,0.0013690125753488959,0.10448179271708684,0.07838395774976642,0.02609783496732042,0.3964059196617336,375,946
8,1080,120,1032,8.6,0.0022741271558199628,0.0009758882846249891,0.0012982388711949735,0.09733893557422969,0.06847572362277936,0.028863211951450335,0.43349282296650715,453,1045
9,1200,120,1023,8.525,0.0024452260759138065,0.0009837249294254308,0.0014615011464883757,0.10756302521008404,0.060557306255835844,0.047005718954248196,0.5021795989537925,576,1147
10,1320,120,1031,8.591666666666667,0.0021440109279644314,0.0009756094988290714,0.00116840142913536,0.08739495798319327,0.05591439606145678,0.03148056192173649,0.4911858974358974,613,1248
11,1440,120,1047,8.725,0.0020114777382780106,0.0009603133769807277,0.0010511643612972827,0.08109243697478992,0.05285889355742223,0.02823354341736769,0.49089529590288317,647,1318
